"","Lane","mean_nCount_RNA","mean_nCount_CITE","mean_nFeature_RNA","mean_percent.mito","SNG.Lane","SNG.n"
"1",1,4162.77604965825,3537.17868600921,1688.98765518203,1.84339193562006,1,14338
"2",2,4830.5529248875,3228.88106611284,1871.93146417445,1.96564695275512,2,14445
"3",3,5473.28325728325,3315.47911547912,2056.7616005616,1.9598021809857,3,14245
"4",4,4689.92141230068,1506.41116173121,1803.2437357631,2.29690312439161,4,878
"5",5,5322.81823953824,2985.29518037518,2187.56652236652,1.87622977366396,5,17325
"6",6,5021.35755290409,3024.78495047276,2087.28872129671,1.86464938275026,6,17768
"7",7,4011.68325511836,2226.14991490898,1799.62369140323,2.13048506675976,7,19391
"8",8,4073.25035845964,3184.70309299467,1795.31651986891,2.14580625712075,8,19528
"9",9,6319.78226331553,2767.13790858185,2338.49706993098,2.56073350460902,9,7679
"10",10,5903.27910339841,3114.20277978629,2211.40057845264,2.33033526880725,10,12447
"11",11,5760.37940665811,2989.67298256209,2161.60270249868,2.26561274664213,11,13247
"12",12,3725.75893635571,2836.95510026155,1464.74803836094,2.11433818866275,12,2294
"13",13,5389.25328185329,2801.85721305721,2181.69252369252,2.10670526466103,13,14245
"14",14,5603.84902057846,2751.34721731137,2258.80298423025,2.08606135028708,14,14141
"15",15,4688.57269169444,3063.66589360777,2028.0797216988,2.40950288757222,15,13798
"16",16,4273.36530741602,2883.13620677513,1904.04521445172,2.36210180895089,16,14199
"17",17,5283.60577887766,3513.84656544713,1923.33168349943,2.21560145739079,17,14951
"18",18,5380.58967427139,3531.73275748385,1945.25814321509,2.24228384901804,18,15166
"19",19,5446.8334766788,3537.92093946411,1959.81223949719,2.28671724498454,19,15115
"20",20,3838.09241499564,2165.37837837838,1476.59982563208,2.37691159245931,20,1147
"21",21,4724.82546868081,3215.31584903804,1950.68730010333,1.86992431317115,21,20323
"22",22,4677.78864828122,3170.89371722664,1938.80719557196,1.8671074954758,22,20596
"23",23,4352.14535168362,2937.70831746723,1790.43072403851,2.27424622865745,23,18383
"24",24,4330.8569757076,2994.6779028304,1785.52039224426,2.26369992272816,24,17948
